"","Country","Year","CO2","GDP","Tourism","Renewable","Urban"
"79","Chile",2013,4.73643108698645,14461.174377579,3576000,30.1772384553337,87.246
"80","Chile",2014,4.64906220009855,14561.3261643081,3674000,26.7170993337307,87.303
"81","Colombia",1995,1.63679476356755,5049.93245491302,1399000,33.6999018210568,71.777
"82","Colombia",1996,1.63250809740442,5062.71145228453,631000,33.7753983146372,72.223
"83","Colombia",1997,1.72065292998054,5146.51101194221,639000,25.8003477214614,72.662
"84","Colombia",1998,1.71974071004381,5089.4221725344,674000,25.9386837606884,73.098
"85","Colombia",1999,1.44904880889282,4796.05823587336,546000,29.1354698846611,73.53
"86","Colombia",2000,1.46161944920067,4857.80115237848,557000,28.0256620758746,73.957
"87","Colombia",2001,1.39789914871502,4862.50154734803,616000,27.2295014318157,74.379
"88","Colombia",2002,1.36173462447792,4908.73012307454,567000,28.7866515166663,74.797
"89","Colombia",2003,1.38418991246935,5026.24215483602,625000,30.6858176894724,75.211
"90","Colombia",2004,1.30884744030171,5219.7923309257,791000,29.1646113257736,75.62
"91","Colombia",2005,1.42904557882258,5392.19057860821,933000,28.7256212583336,76.024
"92","Colombia",2006,1.45692317453501,5684.02285577118,2045000,28.9802185597383,76.423
"93","Colombia",2007,1.42739416202786,5998.78814293754,2254000,29.6609256053824,76.816
"94","Colombia",2008,1.53855822989393,6121.74515048081,2317000,28.9592408549624,77.204
"95","Colombia",2009,1.62372105740923,6126.99551489325,2364000,29.554610414189,77.587
"96","Colombia",2010,1.68443261901656,6326.54946861963,1405000,27.9315350231324,77.964
"97","Colombia",2011,1.67597670057391,6726.83468623466,2042000,26.7810366177938,78.335
"98","Colombia",2012,1.73517947668643,6926.62519869364,2179000,26.6442913141333,78.701
"99","Colombia",2013,1.92753580549154,7177.46579753109,2288000,24.4704895139289,79.061
"100","Colombia",2014,1.79035682717161,7441.31033370509,2552000,24.4418090930349,79.415
"101","Ecuador",1995,1.99400578112795,3842.59647510637,440000,20.3541287176924,57.766
"102","Ecuador",1996,2.06706308903892,3826.3126222704,494000,19.2914602584483,58.277
"103","Ecuador",1997,1.53627099033657,3908.98280326288,529000,16.5427927492045,58.785
"104","Ecuador",1998,1.84124842428738,3954.9354359183,511000,18.1907489665558,59.291
"105","Ecuador",1999,1.72767684593817,3693.71326543515,518000,21.0557797500684,59.796
"106","Ecuador",2000,1.63381034944618,3663.66378422193,627000,20.0330297926724,60.299
"107","Ecuador",2001,1.78996237378788,3741.87019104291,641000,18.4328347524071,60.799
"108","Ecuador",2002,1.89830216004684,3827.36022054702,683000,18.0582396162515,61.118
"109","Ecuador",2003,2.01703571320117,3865.0528772486,761000,17.970484891416,61.316
"110","Ecuador",2004,2.13632525050035,4112.67444307076,819000,15.9719719623758,61.514
"111","Ecuador",2005,2.18892564050506,4258.42161199778,860000,12.1631154197742,61.711
"112","Ecuador",2006,2.05267101318237,4372.09186915062,841000,12.9714915199809,61.907
"113","Ecuador",2007,2.23048332546081,4393.72410498858,937000,12.8081341331183,62.104
"114","Ecuador",2008,2.33000964037673,4596.14518230386,1005000,15.0890011225862,62.3
"115","Ecuador",2009,2.44128718655969,4547.50930098406,968000,13.2995050892621,62.495
"116","Ecuador",2010,2.42893190426802,4633.59035839904,1047000,12.1066394041354,62.69
"117","Ecuador",2011,2.53280893063795,4921.84840912018,1141000,13.3457155677197,62.851
"118","Ecuador",2012,2.4647935628187,5122.18009020886,1272000,13.1000979343789,62.988
"119","Ecuador",2013,2.61003519725705,5295.68269596129,1364000,12.6757331242219,63.125
"120","Ecuador",2014,2.75326636341217,5412.13164601881,1695000,12.2181395203009,63.261
"121","Peru",1995,0.982880519326594,3107.11435588466,479000,33.282985370877,70.951
"122","Peru",1996,0.985270679794766,3135.41459583504,584000,31.7145352264847,71.377
